<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;D;20170117;0;59.8499000;60.3564000;58.9225000;59.4245000;406117
USDRUB;D;20170118;0;59.4336000;59.5809000;59.0075000;59.4280000;405393
USDRUB;D;20170119;0;59.4826000;60.2591000;59.0959000;59.6470000;472449
USDRUB;D;20170120;0;59.6470000;60.0459000;59.2724000;59.4044000;379493
USDRUB;D;20170123;0;59.5931000;59.9210000;59.1540000;59.5160000;342928
USDRUB;D;20170124;0;59.5220000;59.9311000;59.0513000;59.2647000;334627
USDRUB;D;20170125;0;59.2647000;59.6712000;58.8170000;59.5209000;362181
USDRUB;D;20170126;0;59.5209000;60.6168000;59.2805000;60.3817000;427290
USDRUB;D;20170127;0;60.4071000;60.5427000;59.5033000;59.8433000;407852
USDRUB;D;20170130;0;59.7060000;60.2783000;58.9205000;59.8664000;419446
USDRUB;D;20170131;0;59.8664000;60.2324000;58.6978000;60.1142000;355404
USDRUB;D;20170201;0;60.1142000;60.5433000;59.9798000;60.0636000;356966
USDRUB;D;20170202;0;60.0636000;60.2972000;58.4800000;59.0915000;258893
USDRUB;D;20170203;0;59.0915000;59.6090000;58.7125000;58.9515000;363802
USDRUB;D;20170206;0;58.9975000;59.8397000;56.8408000;58.8786000;286465
USDRUB;D;20170207;0;58.8907000;59.4994000;58.7190000;59.3512000;274427
USDRUB;D;20170208;0;59.3635000;59.6160000;59.0180000;59.2313000;291549
USDRUB;D;20170209;0;59.2313000;59.2937000;58.6550000;58.9316000;257830
USDRUB;D;20170210;0;58.9752000;59.0312000;58.1050000;58.2541000;291403
USDRUB;D;20170213;0;58.3787000;58.6065000;57.8150000;57.9679000;265382
USDRUB;D;20170214;0;57.9891000;58.1825000;56.9030000;57.0678000;300243
USDRUB;D;20170215;0;57.0816000;57.8874000;56.5238000;57.2295000;295340
USDRUB;D;20170216;0;57.3061000;57.6744000;56.8675000;57.5370000;270537
USDRUB;D;20170217;0;57.5380000;58.5634000;56.7060000;58.4407000;283693
USDRUB;D;20170220;0;58.4800000;58.4800000;57.7153000;57.8732000;227518
USDRUB;D;20170221;0;57.9019000;58.3470000;57.3600000;57.4114000;306381
USDRUB;D;20170222;0;57.4181000;58.1555000;57.2500000;58.0799000;273114
USDRUB;D;20170223;0;58.0948000;58.1432000;57.4600000;57.7160000;181871
USDRUB;D;20170224;0;57.7666000;58.5880000;57.5800000;58.4627000;272817
USDRUB;D;20170227;0;58.4135000;58.4931000;57.5513000;58.1000000;258852
